吉林建筑大学测勘学院
主点要素:
p1=0.3044	p2=0.3044	q1=79.9986	q2=79.9986	T1=1021.9137	T2=1021.9137
圆曲线长Ly=1680.1834	平曲线 L=2000.1834	 外矢距 E=124.6711	切曲差D=43.644
主点里程桩号：
KZH=72057.074	KHY=72217.074	KQZ=73057.1657	KYH=73897.2574	KHZ=74057.2574
主点坐标：
ZH(x,y) 24996.5767,69553.7061	HY(x,y) 25034.835,69398.351
YH(x,y) 25827.408,67935.074	HZ(x,y) 25936.625,67818.154

逐桩坐标
桩号      X坐标         Y坐标          切线方位角(d.ms) 左边桩X      左边桩Y      右边桩X      右边桩Y      
72240     25040.728      69376.195      285.04533      25028.9        69373.008      25052.556      69379.382      
72250     25043.343      69366.543      285.144189     25031.524      69363.322      25055.162      69369.764      
72260     25045.987      69356.899      285.243047     25034.177      69353.644      25057.797      69360.154      
72270     25048.657      69347.262      285.341906     25036.857      69343.974      25060.457      69350.55       
72280     25051.356      69337.633      285.440765     25039.565      69334.311      25063.147      69340.955      
72290     25054.081      69328.012      285.535624     25042.3        69324.656      25065.862      69331.368      
72300     25056.834      69318.398      286.034483     25045.062      69315.009      25068.606      69321.787      
72310     25059.615      69308.793      286.133341     25047.853      69305.37       25071.377      69312.216      
72320     25062.423      69299.195      286.2322       25050.671      69295.738      25074.175      69302.652      
72330     25065.258      69289.605      286.331059     25053.516      69286.115      25077          69293.095      
72340     25068.121      69280.024      286.425918     25056.389      69276.5        25079.853      69283.548      
72350     25071.011      69270.451      286.524777     25059.289      69266.894      25082.733      69274.008      
72360     25073.928      69260.886      287.023635     25062.216      69257.296      25085.64       69264.476      
72370     25076.873      69251.329      287.122494     25065.171      69247.705      25088.575      69254.953      
72380     25079.845      69241.781      287.221353     25068.154      69238.124      25091.536      69245.438      
72390     25082.844      69232.241      287.320212     25071.163      69228.55       25094.525      69235.932      
72400     25085.87       69222.71       287.415071     25074.2        69218.986      25097.54       69226.434      
72410     25088.924      69213.188      287.51393      25077.264      69209.431      25100.584      69216.945      
72420     25092.004      69203.674      288.012788     25080.355      69199.884      25103.653      69207.464      
72430     25095.112      69194.169      288.111647     25083.474      69190.345      25106.75       69197.993      
72440     25098.247      69184.673      288.210506     25086.62       69180.816      25109.874      69188.53       
72450     25101.409      69175.186      288.305365     25089.793      69171.296      25113.025      69179.076      
72460     25104.598      69165.708      288.404224     25092.993      69161.785      25116.203      69169.631      
72470     25107.814      69156.24       288.503082     25096.22       69152.284      25119.408      69160.196      
72480     25111.057      69146.78       289.001941     25099.475      69142.791      25122.639      69150.769      
72490     25114.327      69137.33       289.1008       25102.756      69133.308      25125.898      69141.352      
72500     25117.624      69127.889      289.195659     25106.065      69123.834      25129.183      69131.944      
72510     25120.948      69118.458      289.294518     25109.4        69114.37       25132.496      69122.546      
72520     25124.299      69109.036      289.393376     25112.763      69104.915      25135.835      69113.157      
72530     25127.677      69099.624      289.492235     25116.153      69095.47       25139.201      69103.778      
72540     25131.081      69090.221      289.591094     25119.569      69086.034      25142.593      69094.408      
72550     25134.513      69080.828      290.085953     25123.013      69076.608      25146.013      69085.048      
72560     25137.971      69071.445      290.184812     25126.483      69067.192      25149.459      69075.698      
72570     25141.456      69062.072      290.28367      25129.98       69057.787      25152.932      69066.357      
72580     25144.967      69052.709      290.382529     25133.503      69048.391      25156.431      69057.027      
72590     25148.506      69043.356      290.481388     25137.055      69039.005      25159.957      69047.707      
72600     25152.071      69034.013      290.580247     25140.632      69029.63       25163.51       69038.396      
72610     25155.662      69024.68       291.075106     25144.236      69020.264      25167.088      69029.096      
72620     25159.281      69015.358      291.173964     25147.867      69010.909      25170.695      69019.807      
72630     25162.926      69006.046      291.272823     25151.525      69001.565      25174.327      69010.527      
72640     25166.597      68996.744      291.371682     25155.209      68992.23       25177.985      69001.258      
72650     25170.295      68987.453      291.470541     25158.92       68982.907      25181.67       68991.999      
72660     25174.019      68978.172      291.5654       25162.657      68973.593      25185.381      68982.751      
72670     25177.77       68968.902      292.064259     25166.421      68964.291      25189.119      68973.513      
72680     25181.548      68959.643      292.163117     25170.212      68955          25192.884      68964.286      
72690     25185.352      68950.395      292.261976     25174.029      68945.719      25196.675      68955.071      
72700     25189.182      68941.158      292.360835     25177.873      68936.45       25200.491      68945.866      
72710     25193.038      68931.931      292.455694     25181.742      68927.191      25204.334      68936.671      
72720     25196.921      68922.716      292.554553     25185.639      68917.943      25208.203      68927.489      
72730     25200.83       68913.511      293.053411     25189.562      68908.706      25212.098      68918.316      
72740     25204.765      68904.318      293.15227      25193.51       68899.481      25216.02       68909.155      
72750     25208.727      68895.137      293.251129     25197.486      68890.268      25219.968      68900.006      
72760     25212.715      68885.966      293.345988     25201.488      68881.065      25223.942      68890.867      
72770     25216.729      68876.807      293.444847     25205.516      68871.874      25227.942      68881.74       
72780     25220.769      68867.659      293.543705     25209.57       68862.694      25231.968      68872.624      
72790     25224.835      68858.523      294.042564     25213.65       68853.526      25236.02       68863.52       
72800     25228.927      68849.399      294.141423     25217.757      68844.37       25240.097      68854.428      
72810     25233.045      68840.286      294.240282     25221.889      68835.225      25244.201      68845.347      
72820     25237.189      68831.185      294.335141     25226.048      68826.093      25248.33       68836.277      
72830     25241.359      68822.096      294.433999     25230.232      68816.972      25252.486      68827.22       
72840     25245.555      68813.019      294.532858     25234.443      68807.863      25256.667      68818.175      
72850     25249.777      68803.954      295.031717     25238.68       68798.766      25260.874      68809.142      
72860     25254.025      68794.901      295.130576     25242.943      68789.682      25265.107      68800.12       
72870     25258.299      68785.861      295.225435     25247.231      68780.61       25269.367      68791.112      
72880     25262.598      68776.832      295.324293     25251.545      68771.55       25273.651      68782.114      
72890     25266.923      68767.816      295.423152     25255.886      68762.502      25277.96       68773.13       
72900     25271.274      68758.812      295.522011     25260.252      68753.467      25282.296      68764.157      
72910     25275.65       68749.82       296.02087      25264.643      68744.443      25286.657      68755.197      
72920     25280.052      68740.841      296.115729     25269.061      68735.433      25291.043      68746.249      
72930     25284.48       68731.875      296.214588     25273.504      68726.435      25295.456      68737.315      
72940     25288.934      68722.921      296.313446     25277.974      68717.45       25299.894      68728.392      
72950     25293.412      68713.98       296.412305     25282.467      68708.478      25304.357      68719.482      
72960     25297.917      68705.052      296.511164     25286.988      68699.519      25308.846      68710.585      
72970     25302.446      68696.137      297.010023     25291.533      68690.572      25313.359      68701.702      
72980     25307.002      68687.235      297.104882     25296.105      68681.639      25317.899      68692.831      
72990     25311.582      68678.346      297.20374      25300.701      68672.719      25322.463      68683.973      
73000     25316.188      68669.47       297.302599     25305.323      68663.812      25327.053      68675.128      
73010     25320.819      68660.607      297.401458     25309.97       68654.918      25331.668      68666.296      
73020     25325.476      68651.757      297.500317     25314.643      68646.037      25336.309      68657.477      
73030     25330.158      68642.921      297.595176     25319.342      68637.17       25340.974      68648.672      
73040     25334.865      68634.098      298.094034     25324.065      68628.317      25345.665      68639.879      
73050     25339.597      68625.288      298.192893     25328.814      68619.476      25350.38       68631.1        
73057.165725343.003      68618.984      298.26307      25332.232      68613.15       25353.774      68624.818      
73060     25344.354      68616.492      298.291752     25333.587      68610.649      25355.121      68622.335      
73070     25349.136      68607.71       298.390611     25338.386      68601.836      25359.886      68613.584      
73080     25353.944      68598.941      298.48547      25343.211      68593.037      25364.677      68604.845      
73090     25358.776      68590.186      298.584328     25348.06       68584.251      25369.492      68596.121      
73100     25363.633      68581.445      299.083187     25352.934      68575.48       25374.332      68587.41       
73110     25368.516      68572.718      299.182046     25357.834      68566.722      25379.198      68578.714      
73120     25373.423      68564.005      299.280905     25362.758      68557.979      25384.088      68570.031      
73130     25378.355      68555.306      299.375764     25367.707      68549.249      25389.003      68561.363      
73140     25383.311      68546.621      299.474622     25372.68       68540.534      25393.942      68552.708      
73150     25388.293      68537.95       299.573481     25377.68       68531.832      25398.906      68544.068      
73160     25393.299      68529.293      300.07234      25382.703      68523.145      25403.895      68535.441      
73170     25398.33       68520.651      300.171199     25387.752      68514.473      25408.908      68526.829      
73180     25403.386      68512.023      300.270058     25392.826      68505.815      25413.946      68518.231      
73190     25408.466      68503.409      300.364917     25397.923      68497.171      25419.009      68509.647      
73200     25413.571      68494.811      300.463775     25403.046      68488.543      25424.096      68501.079      
73210     25418.7        68486.226      300.562634     25408.193      68479.928      25429.207      68492.524      
73220     25423.854      68477.657      301.061493     25413.365      68471.329      25434.343      68483.985      
73230     25429.032      68469.102      301.160352     25418.561      68462.744      25439.503      68475.46       
73240     25434.234      68460.562      301.255211     25423.781      68454.174      25444.687      68466.95       
73250     25439.461      68452.036      301.354069     25429.027      68445.618      25449.895      68458.454      
73260     25444.713      68443.526      301.452928     25434.297      68437.078      25455.129      68449.974      
73270     25449.988      68435.031      301.551787     25439.591      68428.554      25460.385      68441.508      
73280     25455.288      68426.551      302.050646     25444.909      68420.044      25465.667      68433.058      
73290     25460.612      68418.086      302.145505     25450.252      68411.549      25470.972      68424.623      
73300     25465.96       68409.636      302.244363     25455.618      68403.07       25476.302      68416.202      
73310     25471.332      68401.201      302.343222     25461.009      68394.605      25481.655      68407.797      
73320     25476.728      68392.782      302.442081     25466.424      68386.157      25487.032      68399.407      
73330     25482.148      68384.378      302.54094      25471.863      68377.724      25492.433      68391.032      
73340     25487.592      68375.99       303.035799     25477.326      68369.306      25497.858      68382.674      
73350     25493.06       68367.618      303.134657     25482.813      68360.905      25503.307      68374.331      
73360     25498.552      68359.261      303.233516     25488.324      68352.519      25508.78       68366.003      
73370     25504.068      68350.919      303.332375     25493.86       68344.148      25514.276      68357.69       
73380     25509.607      68342.594      303.431234     25499.418      68335.794      25519.796      68349.394      
73390     25515.17       68334.284      303.530093     25505          68327.455      25525.34       68341.113      
73400     25520.757      68325.99       304.024951     25510.607      68319.132      25530.907      68332.848      
73410     25526.368      68317.713      304.12381      25516.238      68310.826      25536.498      68324.6        
73420     25532.002      68309.451      304.222669     25521.891      68302.535      25542.113      68316.367      
73430     25537.66       68301.205      304.321528     25527.569      68294.26       25547.751      68308.15       
73440     25543.341      68292.976      304.420387     25533.27       68286.002      25553.412      68299.95       
73450     25549.046      68284.763      304.515246     25538.995      68277.76       25559.097      68291.766      
73460     25554.774      68276.566      305.014104     25544.743      68269.535      25564.805      68283.597      
73470     25560.525      68268.385      305.112963     25550.514      68261.325      25570.536      68275.445      
73480     25566.3        68260.221      305.211822     25556.309      68253.133      25576.291      68267.309      
73490     25572.098      68252.074      305.310681     25562.127      68244.957      25582.069      68259.191      
73500     25577.919      68243.943      305.40554      25567.969      68236.798      25587.869      68251.088      
73510     25583.764      68235.828      305.504398     25573.834      68228.654      25593.694      68243.002      
73520     25589.631      68227.731      306.003257     25579.722      68220.529      25599.54       68234.933      
73530     25595.522      68219.65       306.102116     25585.633      68212.42       25605.411      68226.88       
73540     25601.436      68211.586      306.200975     25591.568      68204.328      25611.304      68218.844      
73550     25607.372      68203.539      306.295834     25597.525      68196.253      25617.219      68210.825      
73560     25613.332      68195.509      306.394692     25603.506      68188.194      25623.158      68202.824      
73570     25619.314      68187.496      306.493551     25609.508      68180.153      25629.12       68194.839      
73580     25625.32       68179.5        306.59241      25615.535      68172.129      25635.105      68186.871      
73590     25631.348      68171.521      307.091269     25621.585      68164.123      25641.111      68178.919      
73600     25637.399      68163.559      307.190128     25627.657      68156.133      25647.141      68170.985      
73610     25643.472      68155.615      307.284986     25633.751      68148.161      25653.193      68163.069      
73620     25649.569      68147.688      307.383845     25639.869      68140.206      25659.269      68155.17       
73630     25655.687      68139.779      307.482704     25646.009      68132.27       25665.365      68147.288      
73640     25661.829      68131.887      307.581563     25652.172      68124.35       25671.486      68139.424      
73650     25667.993      68124.012      308.080422     25658.358      68116.448      25677.628      68131.576      
73660     25674.179      68116.155      308.17528      25664.565      68108.563      25683.793      68123.747      
73670     25680.388      68108.316      308.274139     25670.796      68100.697      25689.98       68115.935      
73680     25686.619      68100.495      308.372998     25677.049      68092.848      25696.189      68108.142      
73690     25692.872      68092.691      308.471857     25683.324      68085.017      25702.42       68100.365      
73700     25699.148      68084.906      308.570716     25689.622      68077.205      25708.674      68092.607      
73710     25705.445      68077.138      309.065575     25695.941      68069.41       25714.949      68084.866      
73720     25711.765      68069.388      309.164433     25702.283      68061.633      25721.247      68077.143      
73730     25718.107      68061.656      309.263292     25708.647      68053.874      25727.567      68069.438      
73740     25724.471      68053.943      309.362151     25715.033      68046.134      25733.909      68061.752      
73750     25730.857      68046.247      309.46101      25721.441      68038.411      25740.273      68054.083      
73760     25737.265      68038.57       309.555869     25727.872      68030.707      25746.658      68046.433      
73770     25743.695      68030.912      310.054727     25734.324      68023.022      25753.066      68038.802      
73780     25750.147      68023.271      310.153586     25740.799      68015.354      25759.495      68031.188      
73790     25756.62       68015.649      310.252445     25747.294      68007.706      25765.946      68023.592      
73800     25763.116      68008.046      310.351304     25753.813      68000.076      25772.419      68016.016      
73810     25769.632      68000.461      310.450163     25760.352      67992.465      25778.912      68008.457      
73820     25776.171      67992.895      310.545021     25766.914      67984.872      25785.428      68000.918      
73830     25782.731      67985.347      311.04388      25773.497      67977.298      25791.965      67993.396      
73840     25789.312      67977.818      311.142739     25780.101      67969.742      25798.523      67985.894      
73850     25795.915      67970.308      311.241598     25786.727      67962.206      25805.103      67978.41       
73860     25802.54       67962.817      311.340457     25793.375      67954.689      25811.705      67970.945      
73870     25809.186      67955.345      311.435315     25800.044      67947.191      25818.328      67963.499      
73880     25815.853      67947.891      311.534174     25806.734      67939.711      25824.972      67956.071      
73890     25822.541      67940.457      312.033033     25813.446      67932.251      25831.636      67948.663      
73897.257425827.408      67935.074      312.103749     25818.33       67926.849      25836.486      67943.299      
73900     25829.25       67933.042      312.131754     25820.178      67924.81       25838.322      67941.274      
73910     25835.98       67925.646      312.223764     25826.931      67917.389      25845.029      67933.903      
73920     25842.73       67918.267      312.312096     25833.702      67909.987      25851.758      67926.547      
73930     25849.498      67910.905      312.392749     25840.489      67902.604      25858.507      67919.206      
73940     25856.282      67903.559      312.465724     25847.291      67895.239      25865.273      67911.879      
73950     25863.081      67896.226      312.53502      25854.107      67887.888      25872.055      67904.564      
73960     25869.895      67888.907      313.000637     25860.936      67880.552      25878.854      67897.262      
73970     25876.721      67881.599      313.054575     25867.776      67873.23       25885.666      67889.968      
73980     25883.559      67874.302      313.104835     25874.626      67865.919      25892.492      67882.685      
73990     25890.407      67867.015      313.151416     25881.485      67858.621      25899.329      67875.409      
74000     25897.263      67859.735      313.190319     25888.35       67851.331      25906.176      67868.139      
74010     25904.127      67852.463      313.221542     25895.222      67844.051      25913.032      67860.875      
74020     25910.997      67845.196      313.245088     25902.099      67836.777      25919.895      67853.615      
74030     25917.872      67837.934      313.264954     25908.978      67829.51       25926.766      67846.358      
74040     25924.751      67830.676      313.281142     25915.861      67822.248      25933.641      67839.104      
74050     25931.631      67823.419      313.285651     25922.743      67814.989      25940.519      67831.849      
74057.257425936.625      67818.154      313.29062      25927.737      67809.724      25945.513      67826.584      

